ID,Business Name,Category,Sub-Category,Location,Estimated Roof m²,Phone,Email,Website,Contact Person Name,Contact Person Role,Priority,Outreach Channel,Status,Notes
257,Cattle Ranch Highway Pedasí-Cañas 1,Farm,Ranch,Highway,400,,,,,,B,In-Person,New,
258,Cattle Ranch Highway Pedasí-Cañas 2,Farm,Ranch,Highway,300,,,,,,D,In-Person,New,
259,Cattle Ranch Highway Pedasí-Cañas 3,Farm,Ranch,Highway,300,,,,,,D,In-Person,New,
260,Dairy Operation Cañas area,Farm,Dairy Farm,Cañas,400,,,,,,B,In-Person,New,
261,Galera/Processing Bldg Cañas 1,Farm,Agricultural,Cañas,200,,,,,,D,In-Person,New,
262,Galera/Processing Bldg Cañas 2,Farm,Agricultural,Cañas,200,,,,,,D,In-Person,New,
263,10-ha Hillside Farm (ocean views),Farm,Farm,Pedasí,200,,,,,,D,In-Person,New,
264,"39,610 m² Farm (main road)",Farm,Farm/Commercial,Pedasí,300,,,,,,D,In-Person,New,
265,Ranch on road to Playa Arenal,Farm,Cattle Ranch,Playa Arenal,300,,,,,,D,In-Person,New,
266,Villa Luna Mar (Costa Pedasí),Villa,Luxury Villa,Costa Pedasí,1050,,,opendoorspanama.com,,,B,Email,New,
267,Ocean Breeze Cove Villa,Villa,Luxury Villa,Los Destiladeros,400,,,,,,B,In-Person,New,
268,Expat Villa Andromeda 1,Villa,Luxury Home,Andromeda,350,,,,,,D,In-Person,New,
269,Expat Villa Andromeda 2,Villa,Luxury Home,Andromeda,300,,,,,,D,In-Person,New,
270,Expat Villa Andromeda 3,Villa,Luxury Home,Andromeda,350,,,,,,D,In-Person,New,
271,Expat Home Costa Pedasí 1,Villa,Luxury Home,Costa Pedasí,400,,,,,,B,In-Person,New,
272,Expat Home Costa Pedasí 2,Villa,Luxury Home,Costa Pedasí,350,,,,,,D,In-Person,New,
273,Expat Home Costa Pedasí 3,Villa,Luxury Home,Costa Pedasí,300,,,,,,D,In-Person,New,
274,Expat Home Puerta Azul 1,Villa,Luxury Home,Puerta Azul,300,,,,,,D,In-Person,New,
275,Expat Home Puerta Azul 2,Villa,Luxury Home,Puerta Azul,280,,,,,,D,In-Person,New,
276,Expat Villa Destiladeros 1,Villa,Villa,Los Destiladeros,350,,,,,,D,In-Person,New,
277,Expat Villa Destiladeros 2,Villa,Villa,Los Destiladeros,300,,,,,,D,In-Person,New,
278,Expat Villa Destiladeros 3,Villa,Villa,Los Destiladeros,320,,,,,,D,In-Person,New,
279,Expat Villa Mariabé 1,Villa,Villa,Mariabé,300,,,,,,D,In-Person,New,
280,Expat Villa Mariabé 2,Villa,Villa,Mariabé,280,,,,,,D,In-Person,New,
281,Expat Home Pedasí Centro 1,Villa,Large Home,Pedasí,250,,,,,,D,In-Person,New,
282,Expat Home Pedasí Centro 2,Villa,Large Home,Pedasí,200,,,,,,D,In-Person,New,
283,Expat Home Pedasí Centro 3,Villa,Large Home,Pedasí,220,,,,,,D,In-Person,New,
284,Beachfront Villa Playa Toro,Villa,Villa,Playa Toro,300,,,,,,D,In-Person,New,
285,Villa Haciendas del Toro 1,Villa,Villa,Haciendas del Toro,280,,,,,,D,In-Person,New,
286,Villa Haciendas del Toro 2,Villa,Villa,Haciendas del Toro,260,,,,,,D,In-Person,New,
287,Expat Villa Blue Venao 1,Villa,Villa,Blue Venao,280,,,,,,D,In-Person,New,
288,Expat Villa Blue Venao 2,Villa,Villa,Blue Venao,260,,,,,,D,In-Person,New,
289,Custom Home Destiladeros (Artifex),Villa,Custom Build,Los Destiladeros,300,,,artifexvitaecorp.com,,,D,Email,New,
290,New Build Pedasi Developments 1,Villa,Custom Home,Pedasí,250,,,pedasidevelopments.com,,,D,Email,New,
291,Plaza Pedasí (commercial center),Services,Shopping Plaza,Pedasí,500,,,,,,B,In-Person,New,
292,Plaza Santa Catalina,Services,Shopping Plaza,Pedasí,400,,,,,,B,In-Person,New,
293,Montana Mall (small),Services,Commercial,Pedasí,300,,,,,,D,In-Person,New,
294,Jr Travel Tours,Services,Transport/Tours,Los Santos,100,,,,,,D,In-Person,New,
295,Teja Roja Building,Services,Commercial Building,Pedasí,200,,,,,,D,In-Person,New,
296,Varpanets O Mandaditok,Services,Rentals,Pedasí,80,,,,,,D,In-Person,New,
297,Food Delivery Service Pedasí,Services,Delivery,Pedasí,,+507-6161-6063,,,,,C,WhatsApp,New,
298,Spay/Panama-Pedasi (Animal Rescue),Services,NGO/Vet,Pedasí,150,,,animalespedasi.com,,,D,Email,New,
299,10 MW Solar Farm (existing),Services,Solar Farm,Playa Venao,20000,,,,,,B,In-Person,New,
300,Water Treatment Facility Venao,Services,Utility,Playa Venao,500,,,,,,B,In-Person,New,
